GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Fri Oct 21 12:42:48 MST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	objective	Q_evap	UA_gen	UA_rect	UA_abs	UA_cond	UA_evap	deltaT_gen	deltaT_rect	deltaT_abs	deltaT_cond	deltaT_evap	con1	con2	con3	con4	con5	mu	sum_g_barrier	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
10	2	10	1	-140.3370607053035	31.18542065535236	3.0876046567384736	0.21951440256504026	4.839293362277668	4.577451065951655	2.6577209092288503	7.35010045124352	8.59995065848733	3.6873496201098988	5.902055779551233	10.844423507258398	0.11	38.5	1.5	79.0	82.0	3.0	36.38388001665038	0.11	273.65	312.15	313.65	310.65	392.65	Global search reduced cost.
11	3	1	1	-146.88277762437565	33.04376765747822	3.308485401742289	0.22803936688415677	4.794197346716829	4.891324783531211	2.830227445208771	7.8501680162865455	9.145157238382637	4.3949494828266324	5.822810339206455	10.733251578930208	0.12	38.5	2.0	78.0	81.0	3.0	37.94633665563248	0.12	273.65	312.15	314.15	311.15	392.15	Cost reduced     at T_evap+dT_evap.
12	3	2	1	-148.60505308377623	32.5554290298548	3.3005701177500018	0.22808628128615657	4.637624168836545	4.448693735206002	2.7847289455186206	7.850079960097503	9.108561384101051	4.616243615369683	6.345857640795941	10.762465417609633	0.12	39.0	1.5	78.0	81.0	3.0	38.68320801797381	0.12	273.65	312.65	314.15	311.15	392.15	Cost reduced     at T_cond+dT_cond.
13	3	3	1	-150.1921497708393	32.5554290298548	3.3005701177500018	0.22060791682010497	4.637624168836545	4.455155505562528	2.7847289455186206	7.850079960097503	9.637593613122135	4.616243615369683	6.345857640795884	10.762465417609633	0.12	39.0	2.0	77.5	81.0	3.0	39.21224024699484	0.12	273.65	312.65	314.65	311.15	392.15	Cost reduced     at T_rect+dT_rect.
14	3	4	1	-151.60461978214218	31.916829377928956	3.2843943561496345	0.21790570815877894	4.282002383439977	4.358096374515797	2.7254094722173012	7.850128014772054	9.638152381001362	5.233959503703431	6.373021727548803	10.80066850771209	0.12	39.0	2.0	77.5	80.5	3.0	39.89593013473774	0.12	273.65	312.65	314.65	311.65	392.15	Cost reduced     at T_abs_outlet+dT_abs_outlet.
15	3	5	1	-153.18167788943282	31.57092943593484	3.169349180566086	0.21529159950228358	4.21009355600477	4.305709241332261	2.693366303048972	8.350172687419388	9.638152181586179	5.33950274116944	6.387727291535668	10.821361249455322	0.12	39.0	2.0	77.0	80.0	3.0	40.536916151166	0.12	273.65	312.65	314.65	311.65	391.65	Cost reduced     at T_gen_outlet-dT_gen_outlet.
15	3	6	1	-153.18167788943282	31.57092943593484	3.169349180566086	0.21529159950228358	4.21009355600477	4.305709241332261	2.693366303048972	8.350172687419388	9.638152181586179	5.33950274116944	6.387727291535668	10.821361249455322	0.12	39.0	2.0	77.0	80.0	3.0	40.536916151166	0.12	273.65	312.65	314.65	311.65	391.65	Global search reduced cost.
16	4	1	1	-165.51902153189218	31.50919442795299	3.2172537601191613	0.21058540010960963	3.735942504218828	4.0060176024848975	2.687658887518427	9.350078549222076	10.54439487581169	7.059101734164869	6.891312791384394	10.8250544173967	0.13	39.5	2.5	75.0	78.0	3.0	44.66994236797973	0.13	273.65	313.15	315.65	312.65	390.65	Exploration base, Delta = 1.0.
17	4	2	1	-167.19815980102896	33.9329786147186	3.5404284098527037	0.22865692926003847	4.054515946047531	4.34806887444873	2.9134144305471734	9.350078417833515	10.544396109554953	7.0591008515521025	6.788095292955006	10.68005639020788	0.14	39.5	2.5	75.0	78.0	3.0	44.42172706210346	0.14	273.65	313.15	315.65	312.65	390.65	Cost reduced     at m_rich+dm_rich.
18	4	3	1	-165.53919250106813	34.78871671882595	3.563845439869074	0.23249453827779537	4.206239022277513	4.47182734310458	3.1281940318728885	9.350141132416923	10.542849542545582	6.808008633629754	6.751100497274194	10.131392121547606	0.14	39.0	2.5	75.0	78.0	3.0	43.58349192741406	0.14	274.15	313.15	315.65	312.65	390.65	Cost not reduced at T_evap+dT_evap.
19	4	4	1	-169.27392305072067	33.336873909291285	3.5242028578382327	0.22629215474230888	3.935192220222871	3.9832097577492562	2.857614985124301	9.350151317734174	10.624442211924872	7.306193548287126	7.315845526402086	10.715717109461536	0.14	40.0	2.0	75.0	78.0	3.0	45.312349713809795	0.14	273.65	313.65	315.65	312.65	390.65	Cost reduced     at T_cond+dT_cond.
20	4	5	1	-170.50808726431848	33.336873909291285	3.5242028578382327	0.22110488392314084	3.935192220222871	3.9877457463299835	2.857614985124301	9.350151317734174	11.035830283124085	7.306193548287126	7.315845526402143	10.715717109461536	0.14	40.0	2.5	74.5	78.0	3.0	45.723737785009064	0.14	273.65	313.65	316.15	312.65	390.65	Cost reduced     at T_rect+dT_rect.
21	4	6	1	-171.93024600748072	32.59398318285314	3.4975968031836357	0.21778725751933203	3.684290605671711	3.8901613980071406	2.7883275604269335	9.350156035072757	11.037221686512737	7.950472906218067	7.347411317826129	10.760158995912832	0.14	40.0	2.5	74.5	77.5	3.0	46.44542094154252	0.14	273.65	313.65	316.15	313.15	390.65	Cost reduced     at T_abs_outlet+dT_abs_outlet.
22	4	7	1	-173.49886715908934	32.16463839300031	3.3729356917612496	0.21460519272874276	3.62147627093781	3.8339685043382423	2.74841395553164	9.85007754800597	11.037221467545635	8.07262411528211	7.3656426070178895	10.785843850844742	0.14	40.0	2.5	74.0	77.0	3.0	47.11140958869635	0.14	273.65	313.65	316.15	313.15	390.15	Cost reduced     at T_gen_outlet-dT_gen_outlet.
22	4	8	1	-173.49886715908934	32.16463839300031	3.3729356917612496	0.21460519272874276	3.62147627093781	3.8339685043382423	2.74841395553164	9.85007754800597	11.037221467545635	8.07262411528211	7.3656426070178895	10.785843850844742	0.14	40.0	2.5	74.0	77.0	3.0	47.11140958869635	0.14	273.65	313.65	316.15	313.15	390.15	Global search reduced cost.
23	5	1	1	-189.1110642565194	31.01435345429347	3.4421535973283324	0.204707220837698	3.4506237055584443	3.2975404084392497	2.6419911447393694	11.350147510016086	12.437579960642893	9.649931677100994	8.406587207631958	10.85465724535004	0.16	41.0	3.0	71.0	74.0	3.0	52.69890360074197	0.16	273.65	314.65	317.65	314.65	388.65	Exploration base, Delta = 1.0.
24	5	2	1	-190.45306693678998	32.95275054518682	3.733897331158974	0.2189552213315678	3.689747137772947	3.521803952245902	2.8218022176187088	11.350147398428533	12.437580057104412	9.649931702340155	8.323749818377792	10.738696487616835	0.17	41.0	3.0	71.0	74.0	3.0	52.500105463867726	0.17	273.65	314.65	317.65	314.65	388.65	Cost reduced     at m_rich+dm_rich.
25	5	3	1	-189.90226255245165	34.27367764174437	3.7793680107341134	0.22405097018919282	3.744825581653421	3.644203912902265	3.0773744737066053	11.350089715858303	12.435125374641416	9.649939155162883	8.278837465711433	10.162203258861723	0.17	40.5	3.0	71.0	74.0	3.0	51.87619497023576	0.17	274.15	314.65	317.65	314.65	388.65	Cost not reduced at T_evap+dT_evap.
26	5	4	1	-191.88520471546695	32.45404417267178	3.6990307151068	0.2153194115922734	3.6557078599603856	3.243006607422878	2.7753238366363457	11.350079304427709	12.516312748155542	9.649930653186004	8.858866720767594	10.768530754394874	0.17	41.5	2.5	71.0	74.0	3.0	53.14372018093172	0.17	273.65	315.15	317.65	314.65	388.65	Cost reduced     at T_cond+dT_cond.
27	5	5	1	-193.12068781190425	32.45404417267178	3.6990307151068	0.21097708848181818	3.6557078599603856	3.2468556821292847	2.7753238366363457	11.350079304427709	12.928140446968087	9.649930653186004	8.85886672076748	10.768530754394874	0.17	41.5	3.0	70.5	74.0	3.0	53.555547879744154	0.17	273.65	315.15	318.15	314.65	388.65	Cost reduced     at T_rect+dT_rect.
28	5	6	1	-194.0018701558446	31.552394421380807	3.6516625709468857	0.20658357918853051	3.4767955636466032	3.149559751354479	2.6916767814079128	11.350094239128623	12.930303451990426	10.149923243211504	8.897034242493362	10.822470067997358	0.17	41.5	3.0	70.5	73.5	3.0	54.14982524482127	0.17	273.65	315.15	318.15	315.15	388.65	Cost reduced     at T_abs_outlet+dT_abs_outlet.
29	5	7	1	-195.10729141191595	30.98334742783371	3.5089971849122907	0.20246479012349816	3.4445139784641854	3.0883847085574994	2.6390997389229063	11.850143723887754	12.930303418995322	10.149919449029994	8.921102619976239	10.856512116138106	0.17	41.5	3.0	70.0	73.0	3.0	54.707981328027415	0.17	273.65	315.15	318.15	315.15	388.15	Cost reduced     at T_gen_outlet-dT_gen_outlet.
29	5	8	1	-195.10729141191595	30.98334742783371	3.5089971849122907	0.20246479012349816	3.4445139784641854	3.0883847085574994	2.6390997389229063	11.850143723887754	12.930303418995322	10.149919449029994	8.921102619976239	10.856512116138106	0.17	41.5	3.0	70.0	73.0	3.0	54.707981328027415	0.17	273.65	315.15	318.15	315.15	388.15	Global search reduced cost.
30	6	1	1	-214.19360416477818	26.518400074938747	3.271915566501209	0.16962612399053903	3.0803193300309664	2.256359615209102	2.232200944297898	13.850098750228483	14.821005677585504	12.14997901908032	10.613699648283557	11.12361826810195	0.2	43.0	3.5	66.0	69.0	3.0	62.55840136327981	0.2	273.65	316.65	320.15	317.15	386.15	Exploration base, Delta = 1.0.
31	6	2	1	-215.11493952153657	27.844320078685683	3.4953048858141456	0.17890981106249945	3.250601106065675	2.37577162937745	2.3520111479885637	13.850098665807707	14.821006710246309	12.14997845510743	10.558158110541399	11.044297872580785	0.21	43.0	3.5	66.0	69.0	3.0	62.42353981428363	0.21	273.65	316.65	320.15	317.15	386.15	Cost reduced     at m_rich+dm_rich.
32	6	3	1	-214.51574054831886	29.155324318756445	3.582339522924507	0.1859494514508843	3.322538457459457	2.495363995545361	2.5803813143550247	13.850070673900689	14.815610144559969	12.149978857797805	10.502747475600984	10.468398257994693	0.21	42.5	3.5	66.0	69.0	3.0	61.78680540985414	0.21	274.15	316.65	320.15	317.15	386.15	Cost not reduced at T_evap+dT_evap.
33	6	4	1	-216.1306148946002	26.80026140714883	3.422210531463746	0.17319096254491395	3.197543921532755	2.17860462633216	2.2576028400868786	13.850114022684977	14.899291121281635	12.149977203630272	11.103978979085923	11.106756502467647	0.21	43.5	3.0	66.0	69.0	3.0	63.110117829150454	0.21	273.65	317.15	320.15	317.15	386.15	Cost reduced     at T_cond+dT_cond.
34	6	5	1	-217.36247283008262	26.80026140714883	3.422210531463746	0.17019416445217206	3.197543921532755	2.181337233437878	2.2576028400868786	13.850114022684977	15.309910433109053	12.149977203630272	11.10397897908598	11.106756502467647	0.21	43.5	3.5	65.5	69.0	3.0	63.52073714097793	0.21	273.65	317.15	320.65	317.15	386.15	Cost reduced     at T_rect+dT_rect.
35	6	6	1	-218.08846707125588	25.682033551774907	3.3377696094129936	0.16415513790277797	3.029393667382648	2.0856667710595627	2.1570692480539546	13.850067176397431	15.311057804837219	12.649975537271757	11.150725176886567	11.173652144434016	0.21	43.5	3.5	65.5	68.5	3.0	64.13547783982699	0.21	273.65	317.15	320.65	317.65	386.15	Cost reduced     at T_abs_outlet+dT_abs_outlet.
36	6	7	1	-219.0397471149242	24.89264745355612	3.175646341983258	0.15868556469735856	2.9804880610136597	2.0183907368619396	2.0864613331613566	14.350110340665253	15.311057054494995	12.649977144884701	11.183679833656186	11.22087551342156	0.21	43.5	3.5	65.0	68.0	3.0	64.7156998871227	0.21	273.65	317.15	320.65	317.65	385.65	Cost reduced     at T_gen_outlet-dT_gen_outlet.
36	6	8	1	-219.0397471149242	24.89264745355612	3.175646341983258	0.15868556469735856	2.9804880610136597	2.0183907368619396	2.0864613331613566	14.350110340665253	15.311057054494995	12.649977144884701	11.183679833656186	11.22087551342156	0.21	43.5	3.5	65.0	68.0	3.0	64.7156998871227	0.21	273.65	317.15	320.65	317.65	385.65	Global search reduced cost.
37	7	1	1	-238.65847516593902	12.619350085181805	2.077428852410083	0.07783711009573203	2.1201354789145594	0.8528643277957431	1.0252870405738406	16.85008816825075	17.69887410101427	15.14996709061279	13.692345705059495	11.955099961981773	0.25	45.5	4.0	60.0	63.0	3.0	75.34637502691908	0.25	273.65	319.15	323.15	320.15	383.15	Exploration base, Delta = 1.0.
38	7	2	1	-239.01156203383337	13.124124088589078	2.1795563060205843	0.08108433550475372	2.2117097805128525	0.8877072798996894	1.0676321081727649	16.850088129903213	17.69887640869348	15.149967093073599	13.67197809544814	11.924902921296336	0.26	45.5	4.0	60.0	63.0	3.0	75.29581264841477	0.26	273.65	319.15	323.15	320.15	383.15	Cost reduced     at m_rich+dm_rich.
39	7	3	1	-238.667640905164	14.784787464526499	2.321813224973562	0.09077133095655322	2.310485427455454	1.003070095631738	1.2589126237569548	16.850076416303295	17.69504535471924	15.149968185393902	13.604442145084647	11.328085712044754	0.26	45.0	4.0	60.0	63.0	3.0	74.62761781354584	0.26	274.15	319.15	323.15	320.15	383.15	Cost not reduced at T_evap+dT_evap.
40	7	4	1	-239.73247718931725	11.668467064214656	2.051412999341607	0.07238229085079982	2.1265401508030797	0.7581745761023647	0.9458095857889289	16.850065132447412	17.77895357788981	15.149967131912831	14.230366132467339	12.011984733650138	0.26	46.0	3.5	60.0	63.0	3.0	76.02133670836753	0.26	273.65	319.65	323.15	320.15	383.15	Cost reduced     at T_cond+dT_cond.
41	7	5	1	-240.95993443575003	11.668467064214656	2.051412999341607	0.071339240407476	2.1265401508030797	0.759184490583903	0.9458095857889289	16.850065132447412	18.188105993367458	15.149967131912831	14.230366132467282	12.011984733650138	0.26	46.0	4.0	59.5	63.0	3.0	76.43048912384512	0.26	273.65	319.65	323.65	320.15	383.15	Cost reduced     at T_rect+dT_rect.
42	7	6	1	-241.26842271921097	10.268598077881022	1.9220399475362782	0.0631285891946852	1.9734553081887514	0.6666473751062858	0.8294830625395823	16.776645335362616	18.191484389448817	15.649964059367505	14.286118818110879	12.095728944820166	0.26	46.0	4.0	59.5	62.5	3.0	76.99994154710998	0.26	273.65	319.65	323.65	320.65	383.15	Cost reduced     at T_abs_outlet+dT_abs_outlet.
43	7	7	1	-241.90243886521134	9.133746674847405	1.7659155425472373	0.055945416677435356	1.8967105881933761	0.5919261954241777	0.735767912305519	17.253522944867598	18.19148460668839	15.649964250697565	14.330973241372362	12.16361901982873	0.26	46.0	4.0	59.0	62.0	3.0	77.58956406345465	0.26	273.65	319.65	323.65	320.65	382.65	Cost reduced     at T_gen_outlet-dT_gen_outlet.
43	7	8	1	-241.90243886521134	9.133746674847405	1.7659155425472373	0.055945416677435356	1.8967105881933761	0.5919261954241777	0.735767912305519	17.253522944867598	18.19148460668839	15.649964250697565	14.330973241372362	12.16361901982873	0.26	46.0	4.0	59.0	62.0	3.0	77.58956406345465	0.26	273.65	319.65	323.65	320.65	382.65	Global search reduced cost.
